trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-125.93495885850933,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-127.22152345040682,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-39.281206761445446,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-65.64947989190506,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-120.11803115535582,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,2.21463375592674,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,4.469462551887769,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-25.64436694778344,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,0,-120.79165710244868,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,0,-22.558257102680358,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,0,-150.4865869130956,"{0: 17, 1: 3, 2: 0, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",25,0,-17.629739233118897,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",30,0,27.793792022567576,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,0,-26.91468760124829,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",30,0,-5.516700348808016,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,0,-36.16573744976832,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,0,23.11326585124314,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,0,-33.101639730220384,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,0,-0.9743480434236678,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",30,0,-92.20240868384887,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 2.7536449349747158e-05}",25,0,9.811114221134732,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.670170079024566e-05}",30,0,-13.602142250298256,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.013009359863071e-05}",20,0,0.46113102089780633,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 6.14421235332821e-06}",25,0,-36.92304462592171,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 3.726653172078671e-06}",35,0,35.268114985791485,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 2.2603294069810542e-06}",25,13,-3.200357132243693,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.3709590863840845e-06}",25,0,37.900373355894246,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 8.315287191035679e-07}",20,0,-48.99031313024572,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 5.04347662567888e-07}",25,0,24.53900605601766,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 3.059023205018258e-07}",20,0,-24.898308796371104,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
